mirror_id,original_campo_mirror_id,ring_index,campo_zone,zone_row_index,normalized_zone_row,azimuth_rad,centered_azimuth_feature,nominal_ring_count,actual_ring_count,mirror_width_m,mirror_height_m,x_m,y_m,z_m
1254,1254,22,2,10,0.625,0.0,0.15300481912515174,144,45,6.656364038027926,6.145274258526766,0.0,238.47867157989498,5.229335252215359
1255,1255,22,2,10,0.625,0.043633231299858244,0.15205304070700953,144,45,6.656364038027926,6.145274258526766,18.332300529828146,238.07865935934154,5.229335252215359
1256,1256,22,2,10,0.625,0.08726646259971647,0.14919951721689728,144,45,6.656364038027926,6.145274258526766,36.62970448365791,236.87938414367835,5.229335252215359
1257,1257,22,2,10,0.625,0.1308996938995747,0.14444968049896212,144,45,6.656364038027926,6.145274258526766,54.857381713106726,234.8831288214406,5.229335252215359
1258,1258,22,2,10,0.625,0.17453292519943295,0.13781257213735976,144,45,6.656364038027926,6.145274258526766,72.9806347985749,232.0936933780941,5.229335252215359
1259,1259,22,2,10,0.625,0.2181661564992912,0.1293008262450851,144,45,6.656364038027926,6.145274258526766,90.96496509775587,228.51638766254632,5.229335252215359
1260,1260,22,2,10,0.625,0.2617993877991494,0.11893064541422005,144,45,6.656364038027926,6.145274258526766,108.7761384157626,224.15802127954754,5.229335252215359
1261,1261,22,2,10,0.625,0.30543261909900765,0.10672176987337867,144,45,6.656364038027926,6.145274258526766,126.38025017186341,219.02689062722123,5.229335252215359
1262,1262,22,2,10,0.625,0.3490658503988659,0.09269743991106016,144,45,6.656364038027926,6.145274258526766,143.7437899387782,213.1327631043984,5.229335252215359
1263,1263,22,2,10,0.625,0.39269908169872414,0.07688435163643847,144,45,6.656364038027926,6.145274258526766,160.83370523168162,206.4868585178191,5.229335252215359
1264,1264,22,2,10,0.625,0.43633231299858244,0.05931260616180167,144,45,6.656364038027926,6.145274258526766,177.6174644254863,199.1018277245924,5.229335252215359
1265,1265,22,2,10,0.625,0.47996554429844057,0.04001565230337345,144,45,6.656364038027926,6.145274258526766,194.0631186806403,190.99172855057094,5.229335252215359
1266,1266,22,2,10,0.625,0.5235987755982988,0.019030222909590444,144,45,6.656364038027926,6.145274258526766,210.1393627595591,182.17199903048038,5.229335252215359
1267,1267,22,2,10,0.625,0.5672320068981571,-0.003603735061962543,144,45,6.656364038027926,6.145274258526766,225.81559461792455,172.65942802074284,5.229335252215359
1268,1268,22,2,10,0.625,0.6108652381980153,-0.027843136585856465,144,45,6.656364038027926,6.145274258526766,241.06197365741528,162.47212324093448,5.229335252215359
